Country,min_obesity,max_obesity,min_malnutrition,max_malnutrition,obesity_trend,malnutrition_trend
Finland,6.05802,24.6132,0.700449,2.927,Obesity ↑,Malnutrition ↑
"Iran, Islamic Republic of",6.26063,32.1933,3.33201,11.769,Obesity ↑,Malnutrition ↑
Solomon Islands,1.3194,26.8814,0.960491,3.38328,Obesity ↑,Malnutrition ↑
Western Pacific Region,2.83084,17.8769,3.62325,8.56831,Obesity ↑,Malnutrition ↑
Comoros,1.05908,23.5323,2.93622,11.6797,Obesity ↑,Malnutrition ↑
Greenland,3.92529,31.3841,0.918012,3.5258,Obesity ↑,Malnutrition ↑
Saint Vincent and the Grenadines,11.5164,48.7726,2.68596,4.37409,Obesity ↑,Malnutrition ↑
Angola,1.97168,15.4125,5.02428,12.646,Obesity ↑,Malnutrition ↑
Bermuda,12.0506,42.7421,3.73287,4.9959,Obesity ↑,Malnutrition ↑
United States,16.9403,43.7838,0.635091,2.18884,Obesity ↑,Malnutrition ↑
Serbia,5.17245,28.0068,1.07532,4.32504,Obesity ↑,Malnutrition ↑
Iceland,5.89443,24.4737,0.889709,2.78373,Obesity ↑,Malnutrition ↑
Suriname,9.73326,38.5048,3.43418,8.33328,Obesity ↑,Malnutrition ↑
Belize,14.4952,51.5094,2.01591,3.44337,Obesity ↑,Malnutrition ↑
Côte d'Ivoire,2.46122,14.3083,3.77928,11.4819,Obesity ↑,Malnutrition ↑
Rwanda,0.327586,7.46248,2.99453,10.9769,Obesity ↑,Malnutrition ↑
Bahrain,11.3711,43.6609,2.59419,7.70336,Obesity ↑,Malnutrition ↑
Central African Republic,2.2498,10.3218,6.20449,23.6828,Obesity ↑,Malnutrition ↑
"Korea, Republic of",3.99886,23.6072,1.08937,6.1991,Obesity ↑,Malnutrition ↑
Kenya,1.01702,16.8703,4.80483,15.7509,Obesity ↑,Malnutrition ↑
Estonia,4.56382,27.9837,0.779838,2.61056,Obesity ↑,Malnutrition ↑
Bahamas,15.6838,55.1149,2.71159,4.20309,Obesity ↑,Malnutrition ↑
Georgia,3.77786,42.164,1.49261,3.95954,Obesity ↑,Malnutrition ↑
Czechia,2.42306,34.3997,0.537994,4.25662,Obesity ↑,Malnutrition ↑
Samoa,11.0367,72.6159,0.240718,1.71371,Obesity ↑,Malnutrition ↑
Poland,3.8241,33.8425,0.801859,3.19742,Obesity ↑,Malnutrition ↑
Guyana,6.73431,37.8055,6.52376,8.46112,Obesity ↑,Malnutrition ↑
Ukraine,0.799434,33.9341,0.639324,6.49101,Obesity ↑,Malnutrition ↑
Fiji,3.27866,41.8134,3.1889,9.33495,Obesity ↑,Malnutrition ↑
Kuwait,15.1996,51.6902,0.574191,4.31478,Obesity ↑,Malnutrition ↑
Albania,3.12137,29.8361,0.627239,3.3153,Obesity ↑,Malnutrition ↑
Cambodia,0.653823,11.7946,5.90526,16.4735,Obesity ↑,Malnutrition ↑
Uruguay,7.27512,37.7764,0.588489,2.76193,Obesity ↑,Malnutrition ↑
Eswatini,1.85984,41.0318,2.27684,6.10973,Obesity ↑,Malnutrition ↑
Equatorial Guinea,2.20266,28.9741,3.00399,16.5698,Obesity ↑,Malnutrition ↑
Namibia,2.03721,21.1573,6.54173,18.6002,Obesity ↑,Malnutrition ↑
United Arab Emirates,14.4799,37.8012,2.09997,5.00866,Obesity ↑,Malnutrition ↑
Global,4.06685,18.2894,6.73861,14.4431,Obesity ↑,Malnutrition ↑
Dominica,9.9503,44.6827,2.62909,5.89922,Obesity ↑,Malnutrition ↑
France,3.68174,13.2925,1.66191,5.49493,Obesity ↑,Malnutrition ↑
Azerbaijan,2.89705,34.8799,1.5448,6.55103,Obesity ↑,Malnutrition ↑
Guinea,1.02935,11.502,5.32263,12.2393,Obesity ↑,Malnutrition ↑
